# Jockey,騎師,Win,Jockey2,jockey,counts
Moreira J.,莫雷拉,25.0,J Moreira,J Moreira,690
Angland T.,安國倫,20.0,T Angland,T Angland,3
Tosaki K.,戶崎圭太,17.0,K Tosaki,K Tosaki,5
Purton Z.,潘頓,15.0,Z Purton,Z Purton,633
Soumillon C.,蘇銘倫,14.0,C Soumillon,C Soumillon,1
de Sousa S.,蘇兆輝,14.0,S de Sousa,S de Sousa,80
Moore R.,莫雅,14.0,R Moore,R Moore,23
Bowman H.,布文,13.0,H Bowman,H Bowman,22
Berry T.,貝湯美,12.0,T Berry,T Berry,230
Chiong K.K.,蔣嘉琦,12.0,K K Chiong,K K Chiong,146
Prebble B.,柏寶,10.0,B Prebble,B Prebble,387
Williams C.,韋紀力,10.0,C Williams,C Williams,18
Schofield G.,史科菲,9.0,G Schofield,G Schofield,5
Teetan K.,田泰安,8.0,K Teetan,K Teetan,607
Callan N.,郭能,8.0,N Callan,N Callan,465
Rawiller N.,羅理雅,8.0,N Rawiller,N Rawiller,284
Brown C.,白布朗,8.0,C Brown,C Brown,2
Schofield C.,史卓豐,7.0,C Schofield,C Schofield,432
Whyte D.,韋達,7.0,D Whyte,D Whyte,504
Leung K.C.,梁家俊,6.0,K C Leung,K C Leung,544
Cheminaud V.,湛明諾,6.0,V Cheminaud,V Cheminaud,16
Mosse G.,巫斯義,6.0,G Mosse,G Mosse,54
Yeung M.L.,楊明綸,6.0,M L Yeung,M L Yeung,353
Wong H.N.,黃皓楠,6.0,H N Wong,H N Wong,278
Benoist G.,貝諾華,6.0,G Benoist,G Benoist,8
Doleuze O.,杜利萊,6.0,O Doleuze,O Doleuze,219
Bosson O.,寶遜,4.0,O Bosson,O Bosson,13
Chadwick M.,蔡明紹,4.0,M Chadwick,M Chadwick,315
Ho C.Y.,何澤堯,4.0,C Y Ho,C Y Ho,382
So T.H.,蘇狄雄,4.0,T H So,T H So,168
Cheng Y.T.,鄭雨滇,4.0,Y T Cheng,Y T Cheng,62
da Silva E.,姚力高,4.0,E da Silva,E da Silva,1
Lai H.W.,黎海榮,4.0,H W Lai,H W Lai,157
Lerena G.,雷景勳,3.0,G Lerena,G Lerena,25
Fourie R.,霍勵賢,3.0,R Fourie,R Fourie,37
Lai W.M.,賴維銘,3.0,W M Lai,W M Lai,178
Ng K.C.,吳嘉晉,2.0,K C Ng,K C Ng,223
Tong C.K.,湯智傑,0.0,C K Tong,C K Tong,13
Barzalona M.,巴米高,0.0,M Barzalona,M Barzalona,3
Rispoli U.,李寶利,0.0,U Rispoli,U Rispoli,361
Rodd M.,羅達,0.0,M Rodd,M Rodd,2
Shinn B.,薛恩,0.0,B Shinn,B Shinn,1
nan,nan,nan,nan,S Clipperton,337
nan,nan,nan,nan,M F Poon,256
nan,nan,nan,nan,A Sanna,213
nan,nan,nan,nan,H T Mo,171
nan,nan,nan,nan,A Badel,128
nan,nan,nan,nan,C Wong,61
nan,nan,nan,nan,C Murray,33
nan,nan,nan,nan,O Murphy,23
nan,nan,nan,nan,P-C Boudot,22
nan,nan,nan,nan,D Lane,9
nan,nan,nan,nan,W L Ho,5
nan,nan,nan,nan,R Maia,5
nan,nan,nan,nan,---,4
nan,nan,nan,nan,N Juglall,4
nan,nan,nan,nan,D Oliver,3
nan,nan,nan,nan,L Henrique,3
nan,nan,nan,nan,M Guyon,2
nan,nan,nan,nan,P Smullen,2
nan,nan,nan,nan,C Demuro,2
nan,nan,nan,nan,M Demuro,1
nan,nan,nan,nan,T Clark,1
nan,nan,nan,nan,F Geroux,1
nan,nan,nan,nan,F Prat,1
nan,nan,nan,nan,W Buick,1
