Age,draw,Chinese Name,Code,Trainer,Jockey,plc,odds,finishTime_x,y_pred,y_Rank,x_Rank
3.0,1,大眾歡呼 ,C225,F C Lor,Z Purton,1.0,4.9,69530.0,69348.0,1.0,1.0
3.0,5,韋小寶 ,C188,P O'Sullivan,M Chadwick,2.0,25,69550.0,69562.0,2.0,2.0
6.0,7,傳奇 ,V357,K W Lui,C Y Ho,3.0,14,69560.0,69586.0,3.0,3.0
3.0,6,高耀智星 ,C067,A T Millard,K Teetan,4.0,2.9,69830.0,69746.0,5.0,4.0
6.0,11,君子精神 ,V274,W Y So,K C Ng,5.0,243,70040.0,69722.0,4.0,5.0
4.0,8,熱血鬥士 ,C360,A S Cruz,O Murphy,6.0,12,70130.0,70038.0,6.0,6.0
5.0,12,長友之星 ,B251,L Ho,T H So,7.0,66,70140.0,70390.0,7.0,7.0
3.0,12,金鎗六十 ,C238,K W Lui,C Y Ho,1.0,2.9,69030.0,68958.0,2.0,1.0
5.0,8,同樂日 ,B087,C S Shum,J McDonald,2.0,15,69090.0,68956.0,1.0,2.0
4.0,1,醒目勇駒 ,B456,A S Cruz,K Teetan,3.0,6.5,69150.0,69112.0,3.0,3.0
4.0,2,友瑩囍 ,B249,J Size,J Moreira,4.0,15,69100.0,69452.0,4.0,4.0
4.0,11,紅粉彩影 ,C284,J Moore,U Rispoli,5.0,257,69530.0,69938.0,7.0,5.0
3.0,4,春花秋月 ,C267,J Moore,Z Purton,6.0,2.2,69590.0,69784.0,6.0,6.0
5.0,6,醒目再臨 ,A314,W Y So,Y Take,7.0,17,69860.0,69568.0,5.0,7.0
3.0,3,大師級 ,C271,K H Ting,M Harley,8.0,303,70000.0,70180.0,11.0,8.0
4.0,13,銀時 ,C216,T P Yung,M L Yeung,9.0,125,70020.0,70092.0,10.0,9.0
4.0,14,鑽得旺 ,C144,P F Yiu,K C Leung,10.0,181,70320.0,70040.0,9.0,10.0
4.0,9,加州多寶 ,C077,A S Cruz,K C Ng,11.0,84,70410.0,69948.0,8.0,11.0
4.0,5,原班人馬 ,C164,C H Yip,G van Niekerk,12.0,211,70420.0,70772.0,13.0,12.0
3.0,10,電子傳承 ,C322,K L Man,M F Poon,13.0,159,70610.0,70912.0,14.0,13.0
5.0,7,文武先鋒 ,B049,F C Lor,O Murphy,14.0,34,71060.0,70312.0,12.0,14.0
5.0,6,不羈的風 ,B271,J Moore,J McDonald,1.0,7.8,82070.0,82046.0,1.0,1.0
4.0,1,路路通 ,B256,F C Lor,H Bowman,2.0,9.8,82140.0,82690.0,4.0,2.0
4.0,5,發財寶 ,B220,L Ho,C Wong,3.0,16,82300.0,82302.0,2.0,3.0
5.0,4,承你所願 ,A178,W Y So,C Schofield,4.0,6,82550.0,82682.0,3.0,4.0
4.0,2,超能量 ,B294,R Gibson,N Callan,5.0,7.1,82700.0,82796.0,5.0,5.0
4.0,8,帶榮來 ,B197,P F Yiu,K Teetan,6.0,9.3,82750.0,82798.0,6.0,6.0
5.0,3,從頭越 ,B073,Y S Tsui,M Harley,7.0,64,82840.0,83482.0,10.0,7.0
3.0,11,開心人生 ,C065,K W Lui,Z Purton,8.0,4.1,82940.0,83236.0,8.0,8.0
6.0,9,暴風小子 ,B091,C W Chang,K C Leung,9.0,132,83040.0,83412.0,9.0,9.0
4.0,14,閃耀榮光 ,B372,T P Yung,R Bayliss,10.0,5.4,83050.0,82854.0,7.0,10.0
3.0,7,太陽多多 ,C171,K L Man,M F Poon,11.0,138,83310.0,83738.0,11.0,11.0
3.0,10,美妙日 ,C108,C H Yip,T Clark,12.0,122,83590.0,83842.0,12.0,12.0
3.0,13,賞心星 ,C251,C Fownes,G van Niekerk,13.0,174,84070.0,83918.0,13.0,13.0
6.0,12,威力名城 ,A139,D J Hall,C Y Ho,14.0,24,84260.0,84162.0,14.0,14.0
