Age,Chinese Name,Code,Trainer,Jockey,plc,odds,finishTime_x,y_pred,y_Rank,x_Rank
6.0,勁飛聖 ,T361,Yung T.P.,Leung K.C.,1.0,10,57660.0,57446.0,1.0,1.0
7.0,威先生 ,T334,Ho L.,Callan N.,2.0,3.2,57790.0,57728.0,3.0,2.0
nan,nan,nan,Cruz D.,Sanna A.,3.0,13,57840.0,58492.0,7.0,3.0
6.0,提款機 ,V093,O'Sullivan P.,Purton Z.,4.0,2.5,57840.0,57724.0,2.0,4.0
7.0,喜菜 ,T284,Ferraris D.E.,Prebble B.,5.0,25,57960.0,58353.0,5.0,5.0
6.0,勁皇子 ,V143,Size J.,Moreira J.,6.0,10,58000.0,57813.0,4.0,6.0
nan,nan,nan,Man K.L.,Berry T.,7.0,19,58170.0,58466.0,6.0,7.0
nan,nan,nan,Hall D.J.,Clipperton S.,8.0,18,58210.0,58524.0,8.0,8.0
5.0,赤水神駒 ,V364,Yip C.H.,Rispoli U.,1.0,5.7,70040.0,70473.0,1.0,1.0
6.0,索先生 ,T330,Hall D.J.,Schofield C.,2.0,7.4,70110.0,70539.0,3.0,2.0
5.0,常豐裕 ,A266,Size J.,Clipperton S.,3.0,7.5,70390.0,70532.0,2.0,3.0
nan,nan,nan,Yiu P.F.,Teetan K.,4.0,6.9,70480.0,71075.0,4.0,4.0
5.0,餘皇 ,B155,Cruz D.,Prebble B.,5.0,15,70500.0,71111.0,6.0,5.0
4.0,財帥 ,B134,Freedman M.J.,Berry T.,6.0,53,70670.0,71172.0,7.0,6.0
6.0,鑽石達人 ,V341,O'Sullivan P.,Leung K.C.,7.0,6,70680.0,71279.0,10.0,7.0
nan,nan,nan,Lee A.,Sanna A.,8.0,14,70720.0,71255.0,8.0,8.0
5.0,雷霆導彈 ,A281,Man K.L.,Moreira J.,9.0,4.8,70900.0,71505.0,11.0,9.0
nan,nan,nan,So W.Y.,Wong H.N.,10.0,124,70980.0,71259.0,9.0,10.0
6.0,超然 ,V255,Chang C.W.,Whyte D.,11.0,43,71010.0,72105.0,12.0,11.0
nan,nan,nan,Yung T.P.,Chadwick M.,12.0,14,71140.0,71100.0,5.0,12.0
7.0,自由飛翔 ,T292,Fownes C.,Moreira J.,1.0,4.3,100790.0,100815.0,1.0,1.0
5.0,金禧足球 ,A085,Ferraris D.E.,Sanna A.,2.0,24,100790.0,101299.0,2.0,2.0
nan,nan,nan,Chang C.W.,Clipperton S.,3.0,10,100820.0,101943.0,11.0,3.0
5.0,生力軍 ,A384,Yiu P.F.,Callan N.,4.0,8.6,100980.0,101441.0,4.0,4.0
6.0,萬里威揚 ,A055,Tsui Y.S.,Poon M.F.,5.0,3.5,101010.0,101493.0,5.0,5.0
nan,nan,nan,Cruz A.S.,Ng K.C.,6.0,18,101060.0,101891.0,10.0,6.0
5.0,萬霸駒 ,A186,Millard A.T.,Teetan K.,7.0,14,101540.0,101853.0,9.0,7.0
nan,nan,nan,Yip C.H.,Leung K.C.,8.0,13,101540.0,101783.0,7.0,8.0
nan,nan,nan,Ho L.,Wong H.N.,9.0,94,101730.0,101731.0,6.0,9.0
nan,nan,nan,Yung T.P.,Lai W.M.,10.0,73,101900.0,101821.0,8.0,10.0
7.0,歐洲之星 ,T336,Lor F.C.,Berry T.,11.0,17,102210.0,102495.0,12.0,11.0
nan,nan,nan,Lui K.W.,Purton Z.,12.0,5.7,102230.0,101367.0,3.0,12.0
8.0,天賦致寶 ,S417,Hall D.J.,Moreira J.,1.0,7.3,110070.0,110767.0,1.0,1.0
6.0,乘勝追擊 ,V369,Yung T.P.,Whyte D.,2.0,3.4,110100.0,110907.0,2.0,2.0
nan,nan,nan,Lui K.W.,Ho C.Y.,3.0,43,110110.0,111675.0,5.0,3.0
5.0,五陵霸 ,A311,Yiu P.F.,Teetan K.,4.0,12,110340.0,111217.0,3.0,4.0
4.0,文武傳奇 ,B137,Shum C.S.,Sanna A.,5.0,22,110390.0,111455.0,4.0,5.0
8.0,大運舞台 ,T256,Yip C.H.,Rispoli U.,6.0,32,110460.0,111831.0,10.0,6.0
6.0,日東昇 ,V302,Millard A.T.,Callan N.,7.0,28,110620.0,111793.0,9.0,7.0
8.0,有衝勁 ,T220,Lee A.,Purton Z.,8.0,3.3,110630.0,111987.0,12.0,8.0
7.0,小奇妙 ,T298,Man K.L.,Poon M.F.,9.0,8.9,110910.0,112151.0,13.0,9.0
nan,nan,nan,Fownes C.,Clipperton S.,10.0,54,111280.0,111723.0,6.0,10.0
6.0,葵涌老友 ,A012,Gibson R.,Wong H.N.,11.0,43,111370.0,112511.0,14.0,11.0
nan,nan,nan,Chang C.W.,Lai W.M.,12.0,156,112030.0,111779.0,8.0,12.0
nan,nan,nan,Ferraris D.E.,Prebble B.,13.0,24,112110.0,111779.0,8.0,13.0
nan,nan,nan,Cruz D.,Chadwick M.,14.0,13,112470.0,111831.0,10.0,14.0
8.0,天賦致寶 ,S417,Hall D.J.,Moreira J.,1.0,7.3,110070.0,110775.0,1.0,1.0
6.0,乘勝追擊 ,V369,Yung T.P.,Whyte D.,2.0,3.4,110100.0,110907.0,2.0,2.0
nan,nan,nan,Lui K.W.,Ho C.Y.,3.0,43,110110.0,111675.0,5.0,3.0
5.0,五陵霸 ,A311,Yiu P.F.,Teetan K.,4.0,12,110340.0,111217.0,3.0,4.0
4.0,文武傳奇 ,B137,Shum C.S.,Sanna A.,5.0,22,110390.0,111455.0,4.0,5.0
8.0,大運舞台 ,T256,Yip C.H.,Rispoli U.,6.0,32,110460.0,111831.0,10.0,6.0
6.0,日東昇 ,V302,Millard A.T.,Callan N.,7.0,28,110620.0,111793.0,9.0,7.0
8.0,有衝勁 ,T220,Lee A.,Purton Z.,8.0,3.3,110630.0,111987.0,12.0,8.0
7.0,小奇妙 ,T298,Man K.L.,Poon M.F.,9.0,8.9,110910.0,112151.0,13.0,9.0
nan,nan,nan,Fownes C.,Clipperton S.,10.0,54,111280.0,111723.0,6.0,10.0
6.0,葵涌老友 ,A012,Gibson R.,Wong H.N.,11.0,43,111370.0,112511.0,14.0,11.0
nan,nan,nan,Chang C.W.,Lai W.M.,12.0,156,112030.0,111779.0,8.0,12.0
nan,nan,nan,Ferraris D.E.,Prebble B.,13.0,24,112110.0,111779.0,8.0,13.0
nan,nan,nan,Cruz D.,Chadwick M.,14.0,13,112470.0,111831.0,10.0,14.0
