Horse No.,Horse,Brand No.,draw,Age,Win%_y,Win%_x,DamRank,SireRank,awt,dhw,dist_1000M,dist_1200M,dist_1400M,dist_1600M,dist_1650M,dist_1800M,dist_2000M,road_ALL WEATHER TRACK,road_TURF - A Course,road_TURF - B Course,road_TURF - C Course,going_GOOD,going_GOOD TO FIRM,going_GOOD TO YIELDING,class_Class 1,class_Class 2,class_Class 3,class_Class 4,class_Class 5,raceCource_HV,raceCource_ST
1,JADE FORTUNE,V020,6,6,6.0,10.0,12.0,10.0,123.0,1106,nan,nan,nan,nan,1,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,1
2,CHUNG WAH SPIRIT,A168,4,5,8.0,22.0,nan,nan,131.0,1087,nan,nan,nan,nan,1,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,1
3,HANG'S DECISION,T262,13,7,5.0,0.0,nan,5.0,126.0,1094,nan,nan,nan,nan,1,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,1
4,OWNERS' STAR,B427,14,4,10.0,8.0,nan,nan,129.0,1035,nan,nan,nan,nan,1,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,1
5,VOLPINO,B161,1,5,6.0,6.0,7.0,8.0,129.0,1094,nan,nan,nan,nan,1,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,1
6,DRAGON COMMANDER,C208,12,4,5.0,15.0,11.0,11.0,127.0,1086,nan,nan,nan,nan,1,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,1
7,PING HAI TREASURE,B407,10,4,15.0,18.0,1.0,8.0,126.0,1101,nan,nan,nan,nan,1,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,1
8,GAMEPLAYER EMPEROR,B207,2,4,15.0,5.0,nan,nan,125.0,1005,nan,nan,nan,nan,1,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,1
9,FAMOUS WARRIOR,B219,9,5,10.0,10.0,nan,4.0,123.0,1146,nan,nan,nan,nan,1,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,1
10,MONGOLIAN LEGEND,B317,3,5,8.0,5.0,nan,5.0,121.0,1154,nan,nan,nan,nan,1,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,1
11,NUCLEAR POWER,A244,11,5,5.0,7.000000000000001,6.0,7.0,118.0,1073,nan,nan,nan,nan,1,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,1
12,WILLIE WAY,T281,8,7,6.0,7.000000000000001,10.0,7.0,121.0,1132,nan,nan,nan,nan,1,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,1
13,IMPERIAL CONCORDE,P425,5,9,15.0,13.0,nan,8.0,120.0,1092,nan,nan,nan,nan,1,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,1
14,TANG FLEMING,A067,7,6,4.0,12.0,nan,8.0,113.0,1179,nan,nan,nan,nan,1,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,1
